product_id,tags,tag_id
52,mango,235
53,green,236
53,fragrance,237
53,jasmine,238
53,profile,239
53,blossoms,240
54,other,241
54,texture,242
54,tofu,243
54,stir-fries,244
55,turmeric,245
55,seeds,246
55,flavored,247
55,juice,248
55,where,249
56,fruits,250
56,cooked,251
56,nuts,252
56,spices,253
56,dried,254
56,combined,255
57,chickpea,256
57,patties,257
57,easy,258
58,chocolate,259
58,syrup,260
58,whipped,261
58,espresso,262
58,steamed,263
58,often,264
59,root,265
59,digestive,266
59,ginger,267
59,flavor,268
59,blend,269
60,snacks,270
60,tomato,271
60,pizza,272
60,miniature,273
61,paste,274
61,province,275
61,sesame,276
61,chili,277
61,chinese,278
62,cuisines,279
62,many,280
62,asian,281
62,soup,282
63,pockets,283
63,quick,284
63,pasta,285
63,cheese,286
64,sweetened,287
64,latte,288
64,chilled,289
64,version,290
65,also,291
65,maker,292
65,filter,293
66,easy,294
66,dumplings,295
66,tofu,296
66,frozen,297
66,filled,298
67,peanuts,299
67,stir-fried,300
67,popular,301
67,tamarind,302
67,tofu,303
67,sprouts,304
68,vietnamese,305
68,aromatic,306
68,herbs,307
69,leaves,308
69,lemongrass,309
69,light,310
70,variety,311
70,mangoes,312
70,like,313
70,berries,314
71,fried,315
71,southern,316
71,butter,317
71,crispy,318
72,tangy,319
72,squeezed,320
72,orange,321
73,protein,322
73,japanese,323
73,paired,324
74,skin,325
74,famous,326
74,hoisin,327
74,pancakes,328
74,thin,329
74,tender,330
75,mashed,331
75,marsala,332
75,breasts,333
75,classic,334
75,wine,335
76,meat,336
76,spiced,337
76,pastry,338
76,potatoes,339
77,breaded,340
77,cutlets,341
77,mozzarella,342
77,marinara,343
78,plantains,344
78,staple,345
78,fried,346
78,many,347
78,seasoned,348
78,rice,349
79,strong,350
79,espresso,351
79,equal,352
79,parts,353
79,smooth,354
80,romaine,355
80,lettuce,356
80,caesar,357
80,croutons,358
80,parmesan,359
80,classic,360
81,wings,361
81,sauces,362
81,often,363
81,easy,364
81,frozen,365
81,chicken,366
82,blended,367
82,tropical,368
82,mango,369
82,banana,370
82,yogurt,371
83,thick,372
83,onions,373
83,tempura,374
84,skewered,375
84,peanut,376
84,grilled,377
84,southeast,378
84,asian,379
85,masa,380
85,dough,381
85,them,382
86,rooibos,383
86,nutty,384
86,known,385
86,african,386
86,from,387
86,south,388
87,soybeans,389
87,chinese,390
87,noodle,391
87,fermented,392
87,wheat,393
88,sweetened,394
88,asian,395
88,black,396
88,condensed,397
89,into,398
89,fruit,399
89,blends,400
89,designed,401
90,spiced,402
90,spices,403
90,chicken,404
91,pressed,405
91,apples,406
91,warm,407
91,cinnamon,408
91,cloves,409
92,ripe,410
92,twist,411
92,fruity,412
93,meat,413
93,shrimp,414
93,rolls,415
93,vegetables,416
94,beach,417
94,vacation,418
94,tropical,419
94,creamy,420
94,coconut,421
95,garam,422
95,masala,423
95,marinated,424
95,popular,425
96,yogurt,426
96,ripe,427
96,exotic,428
96,indian,429
96,cardamom,430
97,pickled,431
97,dough,432
97,porridge,433
97,meats,434
97,savory,435
97,breakfast,436
98,quick,437
98,similar,438
98,shrimp,439
99,salad,440
99,pieces,441
99,perfection,442
100,taste,443
100,symbiotic,444
100,yeast,445
100,bacteria,446
101,soup,447
101,remedy,448
101,clear,449
101,served,450
102,unbaked,451
102,pies,452
102,pre-baked,453
103,takeout,454
103,diced,455
103,scrambled,456
104,peppers,457
104,bell,458
104,filled,459
105,vanilla,460
105,sugar,461
105,dessert,462
106,bone,463
106,creamy,464
106,ramen,465
106,green,466
107,grilled,467
107,fettuccine,468
107,parmesan,469
108,pieces,470
108,bite-sized,471
108,quick,472
108,pre-cooked,473
108,breaded,474
108,frozen,475
109,duxelles,476
109,wellington,477
109,along,478
110,convenient,479
110,sauce,480
110,filled,481
110,savory,482
110,chicken,483
111,higher,484
111,ratio,485
111,latte,486
112,pre-cooked,487
112,breaded,488
112,fillets,489
113,flavors,490
113,seared,491
113,duck,492
114,hint,493
114,creaminess,494
114,flavor,495
114,strong,496
115,wraps,497
115,quick,498
115,meal,499
115,frozen,500
116,bitter,501
116,enjoyed,502
116,pick-me-up,503
117,slices,504
117,onion,505
117,crispy,506
117,snack,507
117,breaded,508
117,into,509
118,rabbit,510
118,spanish,511
118,single,512
118,variety,513
119,stuffed,514
119,pockets,515
119,pizza,516
120,cheese,517
120,layered,518
120,pasta,519
121,middle,520
121,mixture,521
121,eastern,522
121,grape,523
121,rolled,524
121,rice,525
122,zesty,526
122,flavorful,527
122,juice,528
123,berries,529
123,peach,530
123,lemon,531
123,like,532
123,weather,533
124,item,534
124,fillets,535
124,lettuce,536
125,pepperoni,537
125,toppings,538
125,cheese,539
125,stored,540
126,american,541
126,mate,542
126,properties,543
127,loafs,544
127,bread,545
127,baguettes,546
127,rolls,547
127,frozen,548
128,one-pot,549
128,american,550
128,together,551
128,latin,552
128,create,553
129,food,554
129,comfort,555
129,elbow,556
129,american,557
129,classic,558
129,creamy,559
130,version,560
130,water,561
130,intense,562
130,flavor,563
131,milk,564
131,chilled,565
131,syrup,566
132,zest,567
132,lime,568
132,watermelon,569
132,added,570
132,touch,571
132,sometimes,572
133,hint,573
133,bright,574
133,lime,575
134,made,576
134,foam,577
134,layer,578
135,over,579
135,brewed,580
135,cream,581
135,sweetened,582
135,chilled,583
135,flavored,584
136,rice,585
136,served,586
136,duck,587
136,hearty,588
137,shot,589
137,vanilla,590
137,scoop,591
137,espresso,592
137,cream,593
138,caribbean,594
138,cooked,595
138,southeast,596
138,coconut,597
138,served,598
139,such,599
139,sushi,600
139,seaweed,601
139,rolls,602
139,nori,603
139,fish,604
140,spices,605
140,meatballs,606
140,from,607
140,herbs,608
141,patties,609
141,buns,610
141,pre-cooked,611
141,frozen,612
142,west,613
142,fried,614
142,plantains,615
143,instead,616
143,latte,617
143,drink,618
143,espresso,619
144,amount,620
144,through,621
144,brewed,622
144,small,623
145,extended,624
145,smooth,625
145,more,626
145,acidic,627
145,period,628
146,toasted,629
146,pre-made,630
146,waffles,631
146,quick,632
146,fluffy,633
147,roasted,634
147,orange,635
147,sweet,636
148,then,637
148,mexican,638
148,until,639
148,golden,640
148,tortilla,641
148,fillings,642
149,assortment,643
149,soft,644
149,simple,645
149,spices,646
150,sandwiches,647
150,vegetables,648
150,pre-made,649
151,both,650
151,that's,651
151,touch,652
151,yogurt,653
151,tart,654
151,banana,655
152,macaroni,656
152,comfort,657
152,food,658
152,cheese,659
152,creamy,660
152,quick,661
